,Unnamed: 0,Unnamed: 0.1,rank,mesh,ranks,ranks_per_node,mesh_s,mesh_peakmem_mb,setup_s,setup_peakmem_mb,solve_s,solve_peakmem_mb,total_s,mesh.np-arrays,mesh.np-arrays_peak_mem_mb,mesh.cell-list,mesh.cell-list_peak_mem_mb,mesh.boundary-faces,mesh.boundary-faces_peak_mem_mb,mesh.ctor.plex,mesh.ctor.plex_peak_mem_mb,mesh.topo.facets,mesh.topo.facets_peak_mem_mb,mesh.topo.distribute,mesh.topo.distribute_peak_mem_mb,mesh.topo.rest,mesh.topo.rest_peak_mem_mb,mesh.ctor.topo,mesh.ctor.topo_peak_mem_mb,mesh.ctor.geo,mesh.ctor.geo_peak_mem_mb,cluster
222,222,0.0,0.0,4096,1024,48,1090.799385547638,11354.09765625,14.459959030151367,11354.09765625,1048.7367088794708,11354.09765625,2153.99605345726,12.190072059631348,1585.69921875,-0.0001575946807861,8176.42578125,7.296499967575072,8176.42578125,0.00124192237854,8176.42578125,27.12860870361328,8176.42578125,400.33273434638977,11354.09765625,0.0049304962158203,11354.09765625,470.9422047138214,11354.09765625,0.0025107860565185,11354.09765625,theta
1246,1246,0.0,0.0,4096,2048,48,11729.863031864164,11351.21875,20.503870010375977,11351.21875,831.1613852977753,11351.21875,12581.528287172318,12.05345869064331,1588.9375,-0.0001935958862304,8180.24609375,7.51257061958313,8180.24609375,0.0012381076812744,8180.24609375,27.3238537311554,8180.24609375,11036.36709332466,11351.21875,0.1057090759277343,11351.21875,11107.546248435974,11351.21875,0.6639688014984131,11351.21875,theta
3294,3294,0.0,0.0,4096,2,64,1069.9687435626984,15010.79296875,998.5402069091796,15010.79296875,,,,,,,,,,,,,,,,,,,,,,theta
3296,3296,0.0,0.0,4096,512,48,1178.9275612831116,11354.3828125,28.89981842041016,11354.3828125,1527.596850156784,11354.3828125,2735.4242298603062,12.093475103378296,1584.46875,-0.0001630783081054,8193.703125,7.258588552474976,8193.703125,0.0011811256408691,8193.703125,27.32927775382996,8193.703125,322.86003232002264,11354.3828125,0.0067777633666992,11354.3828125,393.612291097641,11354.3828125,0.0019688606262207,11354.3828125,theta
4084,4084,0.0,0.0,8192,1024,16,4170.8496940135965,44690.26171875,18.19618558883668,44690.26171875,,,,54.21291804313661,5765.78125,-0.000209093093872,32137.96875,27.2396080493927,32137.96875,0.0012793540954589,32137.96875,123.95447206497192,32137.96875,1500.9435951709747,44690.26171875,0.263831615447998,44690.26171875,1799.989881515503,44690.26171875,0.0616390705108642,44690.26171875,theta
5108,5108,0.0,0.0,8192,1024,24,4239.5720925331125,44694.328125,21.82681155204773,44694.328125,2403.8387684822087,44694.328125,6665.2376725673685,54.143961429595954,5810.04296875,-0.000159740447998,32162.10546875,27.213497877120968,32162.10546875,0.0014069080352783,32162.10546875,124.33573627471924,32162.10546875,1517.087610244751,44694.328125,0.1808156967163086,44694.328125,1816.0762486457825,44694.328125,0.3655242919921875,44694.328125,theta
6132,6132,0.0,0.0,8192,1536,24,4480.739856481552,44652.0390625,17.89649271965027,44652.0390625,1859.615829706192,44652.0390625,6358.2521789073935,54.99734973907471,5811.5,-0.0001602172851562,32183.484375,27.19404983520508,32183.484375,0.0012636184692382,32183.484375,125.7390456199646,32183.484375,1671.44571518898,44652.0390625,0.156489610671997,44652.0390625,1971.9160251617432,44652.0390625,0.618537187576294,44652.0390625,theta
7668,7668,0.0,0.0,8192,2048,16,4552.113266468048,44725.2265625,18.308621406555176,44725.2265625,,,,55.54632115364075,5768.49609375,-0.00018310546875,32140.625,27.280788898468018,32140.625,0.0014092922210693,32140.625,124.41546320915222,32140.625,1856.372226715088,44725.2265625,0.1948161125183105,44725.2265625,2155.4457700252533,44725.2265625,0.3205080032348633,44725.2265625,theta
9716,9716,0.0,0.0,8192,2048,24,4578.320987701416,44726.9921875,17.742040395736694,44726.9921875,1516.5711245536804,44726.9921875,6112.634152650832,54.36752915382385,5813.0390625,-0.0001683235168457,32165.80078125,27.23664283752441,32165.80078125,0.001357078552246,32165.80078125,124.15878915786745,32165.80078125,1856.41553235054,44726.9921875,0.1825511455535888,44726.9921875,2155.693452358246,44726.9921875,0.4872026443481445,44726.9921875,theta
11764,11764,0.0,0.0,8192,512,24,4130.962325811386,44695.0625,27.53135299682617,44695.0625,4183.412442922592,44695.0625,8341.906121730804,54.28327441215515,5808.54296875,-0.0001718997955322,32180.61328125,27.08199071884156,32180.61328125,0.0012874603271484,32180.61328125,124.46378111839294,32180.61328125,1340.8495666980746,44695.0625,0.0731468200683593,44695.0625,1640.9953038692474,44695.0625,0.2093346118927002,44695.0625,theta
12276,12276,0.0,0.0,8192,512,8,4052.623880624771,44693.20703125,27.833951473236084,44693.20703125,,,,54.22650599479675,5763.515625,-0.0001678466796875,32135.76171875,27.15938901901245,32135.76171875,0.0012919902801513,32135.76171875,124.1978361606598,32135.76171875,1355.3854897022247,44693.20703125,0.1941056251525879,44693.20703125,1654.5345866680143,44693.20703125,0.4451920986175537,44693.20703125,theta
