mesh,solver,pe,threads,time
64,mumps,cpu_e5-2640v4,1,14.79803204536438
128,mumps,cpu_e5-2640v4,1,7.60072135925293
192,mumps,cpu_e5-2640v4,1,15.02995228767395
256,mumps,cpu_e5-2640v4,1,27.48410654067993
320,mumps,cpu_e5-2640v4,1,44.40729355812073
384,mumps,cpu_e5-2640v4,1,64.47907066345215
512,mumps,cpu_e5-2640v4,1,123.93081712722778
768,mumps,cpu_e5-2640v4,1,311.17945671081543
1024,mumps,cpu_e5-2640v4,1,598.0058252811432
64,superlu_dist,cpu_e5-2640v4,1,2.6985912322998047
64,superlu_dist,gpu_tesla_p100,1,3.9116055965423584
128,superlu_dist,cpu_e5-2640v4,1,8.350162744522095
128,superlu_dist,gpu_tesla_p100,1,9.40387225151062
192,superlu_dist,cpu_e5-2640v4,1,19.66779375076294
192,superlu_dist,gpu_tesla_p100,1,20.371155977249146
256,superlu_dist,cpu_e5-2640v4,1,34.149574995040894
256,superlu_dist,gpu_tesla_p100,1,34.108439683914185
320,superlu_dist,cpu_e5-2640v4,1,59.17832851409912
320,superlu_dist,gpu_tesla_p100,1,57.91433882713318
384,superlu_dist,cpu_e5-2640v4,1,89.83844709396362
384,superlu_dist,gpu_tesla_p100,1,87.11049628257751
512,superlu_dist,cpu_e5-2640v4,1,160.4423635005951
512,superlu_dist,gpu_tesla_p100,1,148.93427419662476
768,superlu_dist,cpu_e5-2640v4,1,431.75694847106934
768,superlu_dist,gpu_tesla_p100,1,388.735520362854
1024,superlu_dist,cpu_e5-2640v4,1,884.845742225647
1024,superlu_dist,gpu_tesla_p100,1,758.503093957901
64,pastix,cpu_e5-2640v4,1,6.5417656898498535
64,pastix,gpu_tesla_p100,1,6.269005298614502
128,pastix,cpu_e5-2640v4,1,14.655986070632935
128,pastix,gpu_tesla_p100,1,17.472591638565063
192,pastix,cpu_e5-2640v4,1,33.2208833694458
192,pastix,gpu_tesla_p100,1,41.26270341873169
256,pastix,cpu_e5-2640v4,1,57.99264907836914
256,pastix,gpu_tesla_p100,1,84.30368304252625
